1.00000	0.00000	0.12652	0.01213	1.00000	0.00000	0.08132	0.02209	1.00000	0.00000	0.07043	0.00927	0.99801	0.00410	0.06574	0.00553	0.35918	0.01186	0.00700	0.00088
0.90238	0.02151	0.14821	0.01379	0.90146	0.02793	0.13375	0.01025	0.89393	0.01403	0.11616	0.01051	0.88635	0.01810	0.08369	0.01158	0.28905	0.00807	0.01058	0.00189
0.97071	0.00101	0.29049	0.03539	0.96693	0.00214	0.17972	0.00889	0.96294	0.00170	0.09205	0.02215	0.86110	0.03961	0.05485	0.01002	0.70298	0.00282	0.00475	0.00094
0.87878	0.00910	0.43289	0.12761	0.84533	0.02832	0.22553	0.03084	0.80966	0.02114	0.15167	0.03813	0.78567	0.01433	0.08933	0.02085	0.76436	0.00093	0.00733	0.00111
0.91481	0.01832	0.24005	0.03315	0.92427	0.01219	0.17869	0.02322	0.92331	0.01082	0.13401	0.01607	0.91664	0.02386	0.11360	0.01541	0.54117	0.01724	0.00583	0.00295
0.89390	0.01464	0.23089	0.02212	0.89806	0.00880	0.15563	0.01627	0.90018	0.00750	0.13256	0.00455	0.89568	0.01051	0.11546	0.00865	0.56665	0.00601	0.00451	0.00153
0.96452	0.00548	0.15700	0.01475	0.96386	0.00383	0.11902	0.01357	0.96336	0.00585	0.10654	0.01361	0.95256	0.01324	0.08033	0.00560	0.45013	0.02276	0.00660	0.00198
0.78788	0.00385	0.18214	0.02853	0.78718	0.00263	0.14437	0.01001	0.79452	0.00594	0.09188	0.00841	0.78517	0.01097	0.06151	0.00719	0.57372	0.00537	0.00674	0.00132
0.57718	0.02790	0.48624	0.07735	0.41872	0.09505	0.30143	0.03098	0.32286	0.06542	0.21471	0.01701	0.19915	0.02896	0.11662	0.05343	0.10209	0.00230	0.00106	0.00045
0.89070	0.05129	0.23054	0.02876	0.89311	0.02799	0.16896	0.03623	0.87842	0.03762	0.12825	0.02338	0.88670	0.02089	0.10930	0.00932	0.36502	0.02184	0.00544	0.00075
0.99990	0.00033	0.34903	0.02530	0.99812	0.00174	0.25923	0.03165	0.85338	0.09332	0.11444	0.03029	0.63915	0.00678	0.03508	0.00256	0.46927	0.02121	0.00513	0.00056
0.83048	0.00937	0.15769	0.01379	0.82648	0.00597	0.13363	0.01335	0.82302	0.01804	0.11700	0.01195	0.70960	0.07091	0.05252	0.02124	0.63938	0.00422	0.00473	0.00056
0.81079	0.01039	0.18645	0.02436	0.81982	0.00408	0.14580	0.02999	0.81641	0.00802	0.11793	0.02787	0.82035	0.00789	0.09011	0.00601	0.34553	0.00684	0.00705	0.00228
